holiday_id,holiday_name,holiday_date,observed_date,source_year,date_may_change
new_year_day_1,Viti i Ri - dita e parë,2025-01-01,2025-01-01,2025,false
new_year_day_2,Viti i Ri - dita e dytë,2025-01-02,2025-01-02,2025,false
orthodox_christmas,Krishtlindjet Ortodokse,2025-01-07,2025-01-07,2025,false
independence_day,Dita e Pavarësisë së Republikës së Kosovës,2025-02-17,2025-02-17,2025,false
eid_al_fitr,Bajrami i Madh - dita e parë,2025-03-30,2025-03-31,2025,true
constitution_day,Dita e Kushtetutës së Republikës së Kosovës,2025-04-09,2025-04-09,2025,false
orthodox_easter,Pashkët Ortodokse,2025-04-20,2025-04-21,2025,true
catholic_easter,Pashkët Katolike,2025-04-20,2025-04-21,2025,true
labour_day,Dita Ndërkombëtare e Punës,2025-05-01,2025-05-01,2025,false
europe_day,Dita e Evropës,2025-05-09,2025-05-09,2025,false
eid_al_adha,Bajrami i Vogël - dita e parë,2025-06-06,2025-06-06,2025,true
catholic_christmas,Krishtlindjet Katolike,2025-12-25,2025-12-25,2025,false
new_year_day_1,Viti i Ri - dita e parë,2026-01-01,2026-01-01,2026,false
new_year_day_2,Viti i Ri - dita e dytë,2026-01-02,2026-01-02,2026,false
orthodox_christmas,Krishtlindjet Ortodokse,2026-01-07,2026-01-07,2026,false
independence_day,Dita e Pavarësisë së Republikës së Kosovës,2026-02-17,2026-02-17,2026,false
eid_al_fitr,Bajrami i Madh - dita e parë,2026-03-20,2026-03-20,2026,true
constitution_day,Dita e Kushtetutës së Republikës së Kosovës,2026-04-09,2026-04-09,2026,false
catholic_easter,Pashkët Katolike,2026-04-05,2026-04-06,2026,true
orthodox_easter,Pashkët Ortodokse,2026-04-12,2026-04-13,2026,true
labour_day,Dita Ndërkombëtare e Punës,2026-05-01,2026-05-01,2026,false
europe_day,Dita e Evropës,2026-05-09,2026-05-11,2026,false
eid_al_adha,Bajrami i Vogël - dita e parë,2026-05-27,2026-05-27,2026,true
catholic_christmas,Krishtlindjet Katolike,2026-12-25,2026-12-25,2026,false
